,logFC,AveExpr,t,P.Value,adj.P.Val,B
GPN1,0.68098801965308,8.51747215383671,9.57171552492228,1.93547917963849E-11,1.00235315933417E-08,16.0414849074411
GALNT7-DT,0.608095178808336,4.03147383337187,9.42017371952729,2.93219931525611E-11,1.41950318590083E-08,15.6404298646985
GRM5,0.664809142743588,4.0822612842824,9.36384984087223,3.42431536945126E-11,1.62246976515553E-08,15.4905527103925
LINC00628,0.649935821574827,3.76357240218154,9.19004667902113,5.54130828607287E-11,2.37306527351071E-08,15.0252942743455
SCART1,0.527496354687561,4.04895995683848,9.16896290269664,5.87604144366359E-11,2.45624020589272E-08,14.9685713036444
HAPLN4,0.564899569844266,3.44978382925,9.16409969198787,5.9561260549736E-11,2.45624020589272E-08,14.9554788490109
GTF2A1-AS1,0.566888428800234,3.39359578825428,9.06525577907974,7.84762117573914E-11,3.12069064218812E-08,14.6886753206059
DGCR8,0.5819653872817,4.56260064918194,8.98044749790418,9.95254755339459E-11,3.8212634735611E-08,14.4586960950521
DGUOK,0.5819653872817,4.56260064918194,8.98044749790418,9.95254755339459E-11,3.8212634735611E-08,14.4586960950521
DUT,0.831741560950078,4.71386448662062,8.85777694540141,1.41409447744545E-10,4.92038592472386E-08,14.1188383650617
EDF1,1.03020257258207,7.27718120978762,8.84855725797538,1.48991092588366E-10,5.10443483207743E-08,14.069429367419
EIF1B,0.587666859345088,4.94763816547678,8.76532639692531,1.82583772724587E-10,6.06859408179676E-08,13.8709917847879
EIF2C4,0.528706589357277,4.00938502067218,8.5466941791236,3.40290169245408E-10,1.05248913596194E-07,13.2674096227572
ADPRHL1,0.526455407236785,4.57762709990724,8.25955577633186,7.77648847461599E-10,2.16468277301529E-07,12.4653477943989
E2F2,0.565311865960135,3.74192478090624,8.1280711596563,1.13908293822282E-09,2.94956255247489E-07,12.0946370018808
PRSS30P,0.604572259174678,4.09184215855316,8.03252453434228,1.50507941030789E-09,3.63090105848335E-07,11.8239368291296
RP2,1.1709516259106,5.66343309468479,8.01617330846476,1.6208844179937E-09,3.79952369518965E-07,11.7534536057777
DIRC3,0.562227621837499,4.18614525284773,7.9350651209861,2.00192074904338E-09,4.45807731604471E-07,11.5467028240987
SLC25A16,0.72412980865564,4.3584476715301,7.90371969228365,2.1982941034395E-09,4.79939327347982E-07,11.4558414746612
LINC01834,0.51458027898193,4.49280506835124,7.89115648368328,2.27725699033002E-09,4.87617653054415E-07,11.4214384410973
ANKRD53,0.508718329484145,5.70854019131502,7.8565269763042,2.52124503992419E-09,5.19866720315479E-07,11.3224897518604
MIR4458HG,1.05653959890337,4.91845839655619,7.77797258003115,3.25710966041455E-09,6.47612277033676E-07,11.0750482699046
BPIFC,0.572326969207888,3.80169610271727,7.75094367485289,3.44140477627667E-09,6.7398674459718E-07,11.0199639177474
SEZ6,0.656459428414106,4.02060727778097,7.72867808859872,3.67533045289921E-09,6.99537896201817E-07,10.9560080640541
DNAAF1,0.610546957215922,4.0978775490254,7.68608754985622,4.16861396390635E-09,7.800912971616E-07,10.8335190743475
LYPLAL1-AS1,0.546828804423958,3.55190239367949,7.66304134603471,4.46295295777493E-09,8.27230236318141E-07,10.7671566478074
SPRTN,0.975965840607884,4.82498137664485,7.61761249776553,5.22840349359671E-09,9.46596076413863E-07,10.6147372129245
TTF2,1.3187467198406,5.58492826634463,7.60687663249001,5.39723282092672E-09,9.69282078138848E-07,10.5838204750708
ALK,0.715367000173465,3.9053348723333,7.55559744182333,6.17383309243695E-09,1.05757760873445E-06,10.4518523788424
IGLL1,0.65762028544467,4.15210834137351,7.55049629359616,6.23252248259391E-09,1.05948124553346E-06,10.4422634821432
LINC01260,0.541380457727669,4.47150923182121,7.46960090275857,7.92976853216951E-09,1.27041737728693E-06,10.2079192799986
ZNF816,0.624027431748639,3.85508747418103,7.44823141320664,8.4515799147448E-09,1.33481016398193E-06,10.1459031740341
MC3R,0.596690725149765,3.53469957321557,7.41130537299423,9.43646670517319E-09,1.45931025734376E-06,10.0386328665636
TUB,0.600048645486155,3.6334238948181,7.29105231703521,1.35238167233345E-08,1.94297983620605E-06,9.68837293157402
XKR6,0.556091949212991,4.07248110015265,7.12113979863449,2.2537818612554E-08,3.00535738133512E-06,9.19116947536795
ARL10,0.654017787936031,4.41042966566015,7.10306500508373,2.38395580273007E-08,3.14132022313585E-06,9.13662829406352
LINC00620,0.546674443922413,3.59576915094463,7.09787450249016,2.41751583982376E-08,3.16680354335502E-06,9.12289022807357
NBPF4,0.87231231412718,4.10502602142753,7.09829879112906,2.46378408401988E-08,3.2085384659087E-06,9.10598258735407
KIF1C-AS1,0.528327602529123,4.42925339554361,7.08601328875832,2.50556102048718E-08,3.24304822324411E-06,9.08806195123076
